,ausbeer
1956-01-01,284.0
1956-04-01,213.0
1956-07-01,227.0
1956-10-01,308.0
1957-01-01,262.0
1957-04-01,228.0
1957-07-01,236.0
1957-10-01,320.0
1958-01-01,272.0
1958-04-01,233.0
1958-07-01,237.0
1958-10-01,313.0
1959-01-01,261.0
1959-04-01,227.0
1959-07-01,250.0
1959-10-01,314.0
1960-01-01,286.0
1960-04-01,227.0
1960-07-01,260.0
1960-10-01,311.0
1961-01-01,295.0
1961-04-01,233.0
1961-07-01,257.0
1961-10-01,339.0
1962-01-01,279.0
1962-04-01,250.0
1962-07-01,270.0
1962-10-01,346.0
1963-01-01,294.0
1963-04-01,255.0
1963-07-01,278.0
1963-10-01,363.0
1964-01-01,313.0
1964-04-01,273.0
1964-07-01,300.0
1964-10-01,370.0
1965-01-01,331.0
1965-04-01,288.0
1965-07-01,306.0
1965-10-01,386.0
1966-01-01,335.0
1966-04-01,288.0
1966-07-01,308.0
1966-10-01,402.0
1967-01-01,353.0
1967-04-01,316.0
1967-07-01,325.0
1967-10-01,405.0
1968-01-01,393.0
1968-04-01,319.0
1968-07-01,327.0
1968-10-01,442.0
1969-01-01,383.0
1969-04-01,332.0
1969-07-01,361.0
1969-10-01,446.0
1970-01-01,387.0
1970-04-01,357.0
1970-07-01,374.0
1970-10-01,466.0
1971-01-01,410.0
1971-04-01,370.0
1971-07-01,379.0
1971-10-01,487.0
1972-01-01,419.0
1972-04-01,378.0
1972-07-01,393.0
1972-10-01,506.0
1973-01-01,458.0
1973-04-01,387.0
1973-07-01,427.0
1973-10-01,565.0
1974-01-01,465.0
1974-04-01,445.0
1974-07-01,450.0
1974-10-01,556.0
1975-01-01,500.0
1975-04-01,452.0
1975-07-01,435.0
1975-10-01,554.0
1976-01-01,510.0
1976-04-01,433.0
1976-07-01,453.0
1976-10-01,548.0
1977-01-01,486.0
1977-04-01,453.0
1977-07-01,457.0
1977-10-01,566.0
1978-01-01,515.0
1978-04-01,464.0
1978-07-01,431.0
1978-10-01,588.0
1979-01-01,503.0
1979-04-01,443.0
1979-07-01,448.0
1979-10-01,555.0
1980-01-01,513.0
1980-04-01,427.0
1980-07-01,473.0
1980-10-01,526.0
1981-01-01,548.0
1981-04-01,440.0
1981-07-01,469.0
1981-10-01,575.0
1982-01-01,493.0
1982-04-01,433.0
1982-07-01,480.0
1982-10-01,576.0
1983-01-01,475.0
1983-04-01,405.0
1983-07-01,435.0
1983-10-01,535.0
1984-01-01,453.0
1984-04-01,430.0
1984-07-01,417.0
1984-10-01,552.0
1985-01-01,464.0
1985-04-01,417.0
1985-07-01,423.0
1985-10-01,554.0
1986-01-01,459.0
1986-04-01,428.0
1986-07-01,429.0
1986-10-01,534.0
1987-01-01,481.0
1987-04-01,416.0
1987-07-01,440.0
1987-10-01,538.0
1988-01-01,474.0
1988-04-01,440.0
1988-07-01,447.0
1988-10-01,598.0
1989-01-01,467.0
1989-04-01,439.0
1989-07-01,446.0
1989-10-01,567.0
1990-01-01,485.0
1990-04-01,441.0
1990-07-01,429.0
1990-10-01,599.0
1991-01-01,464.0
1991-04-01,424.0
1991-07-01,436.0
1991-10-01,574.0
1992-01-01,443.0
1992-04-01,410.0
1992-07-01,420.0
1992-10-01,532.0
1993-01-01,433.0
1993-04-01,421.0
1993-07-01,410.0
1993-10-01,512.0
1994-01-01,449.0
1994-04-01,381.0
1994-07-01,423.0
1994-10-01,531.0
1995-01-01,426.0
1995-04-01,408.0
1995-07-01,416.0
1995-10-01,520.0
1996-01-01,409.0
1996-04-01,398.0
1996-07-01,398.0
1996-10-01,507.0
1997-01-01,432.0
1997-04-01,398.0
1997-07-01,406.0
1997-10-01,526.0
1998-01-01,428.0
1998-04-01,397.0
1998-07-01,403.0
1998-10-01,517.0
1999-01-01,435.0
1999-04-01,383.0
1999-07-01,424.0
1999-10-01,521.0
2000-01-01,421.0
2000-04-01,402.0
2000-07-01,414.0
2000-10-01,500.0
2001-01-01,451.0
2001-04-01,380.0
2001-07-01,416.0
2001-10-01,492.0
2002-01-01,428.0
2002-04-01,408.0
2002-07-01,406.0
2002-10-01,506.0
2003-01-01,435.0
2003-04-01,380.0
2003-07-01,421.0
2003-10-01,490.0
2004-01-01,435.0
2004-04-01,390.0
2004-07-01,412.0
2004-10-01,454.0
2005-01-01,416.0
2005-04-01,403.0
2005-07-01,408.0
2005-10-01,482.0
2006-01-01,438.0
2006-04-01,386.0
2006-07-01,405.0
2006-10-01,491.0
2007-01-01,427.0
2007-04-01,383.0
2007-07-01,394.0
2007-10-01,473.0
2008-01-01,420.0
2008-04-01,390.0
2008-07-01,410.0
