,austa
1980-01-31,0.82989428
1981-01-31,0.8595109200000001
1982-01-31,0.8766891600000001
1983-01-31,0.86670716
1984-01-31,0.932052
1985-01-31,1.04826364
1986-01-31,1.3111932
1987-01-31,1.63756228
1988-01-31,2.0641073999999997
1989-01-31,1.91268276
1990-01-31,2.03544572
1991-01-31,2.17721128
1992-01-31,2.3896834399999998
1993-01-31,2.75059208
1994-01-31,3.0906664
1995-01-31,3.42664028
1996-01-31,3.83064908
1997-01-31,3.97190864
1998-01-31,3.83160036
1999-01-31,4.143101
2000-01-31,4.566551
2001-01-31,4.47541
2002-01-31,4.462796
2003-01-31,4.384829
2004-01-31,4.796861
2005-01-31,5.046211
2006-01-31,5.098759
2007-01-31,5.196519
2008-01-31,5.166843
2009-01-31,5.174744
2010-01-31,5.440894
