,milk
1754-08-30 22:43:41.128654848,589.0
1754-09-30 22:43:41.128654848,561.0
1754-10-28 22:43:41.128654848,640.0
1754-11-28 22:43:41.128654848,656.0
1754-12-28 22:43:41.128654848,727.0
1755-01-28 22:43:41.128654848,697.0
1755-02-27 22:43:41.128654848,640.0
1755-03-30 22:43:41.128654848,599.0
1755-04-30 22:43:41.128654848,568.0
1755-05-30 22:43:41.128654848,577.0
1755-06-30 22:43:41.128654848,553.0
1755-07-30 22:43:41.128654848,582.0
1755-08-30 22:43:41.128654848,600.0
1755-09-30 22:43:41.128654848,566.0
1755-10-28 22:43:41.128654848,653.0
1755-11-28 22:43:41.128654848,673.0
1755-12-28 22:43:41.128654848,742.0
1756-01-28 22:43:41.128654848,716.0
1756-02-27 22:43:41.128654848,660.0
1756-03-29 22:43:41.128654848,617.0
1756-04-29 22:43:41.128654848,583.0
1756-05-29 22:43:41.128654848,587.0
1756-06-29 22:43:41.128654848,565.0
1756-07-29 22:43:41.128654848,598.0
1756-08-29 22:43:41.128654848,628.0
1756-09-29 22:43:41.128654848,618.0
1756-10-27 22:43:41.128654848,688.0
1756-11-27 22:43:41.128654848,705.0
1756-12-27 22:43:41.128654848,770.0
1757-01-27 22:43:41.128654848,736.0
1757-02-26 22:43:41.128654848,678.0
1757-03-29 22:43:41.128654848,639.0
1757-04-29 22:43:41.128654848,604.0
1757-05-29 22:43:41.128654848,611.0
1757-06-29 22:43:41.128654848,594.0
1757-07-29 22:43:41.128654848,634.0
1757-08-29 22:43:41.128654848,658.0
1757-09-29 22:43:41.128654848,622.0
1757-10-28 22:43:41.128654848,709.0
1757-11-28 22:43:41.128654848,722.0
1757-12-28 22:43:41.128654848,782.0
1758-01-28 22:43:41.128654848,756.0
1758-02-27 22:43:41.128654848,702.0
1758-03-30 22:43:41.128654848,653.0
1758-04-30 22:43:41.128654848,615.0
1758-05-30 22:43:41.128654848,621.0
1758-06-30 22:43:41.128654848,602.0
1758-07-30 22:43:41.128654848,635.0
1758-08-30 22:43:41.128654848,677.0
1758-09-30 22:43:41.128654848,635.0
1758-10-28 22:43:41.128654848,736.0
1758-11-28 22:43:41.128654848,755.0
1758-12-28 22:43:41.128654848,811.0
1759-01-28 22:43:41.128654848,798.0
1759-02-27 22:43:41.128654848,735.0
1759-03-30 22:43:41.128654848,697.0
1759-04-30 22:43:41.128654848,661.0
1759-05-30 22:43:41.128654848,667.0
1759-06-30 22:43:41.128654848,645.0
1759-07-30 22:43:41.128654848,688.0
1759-08-30 22:43:41.128654848,713.0
1759-09-30 22:43:41.128654848,667.0
1759-10-28 22:43:41.128654848,762.0
1759-11-28 22:43:41.128654848,784.0
1759-12-28 22:43:41.128654848,837.0
1760-01-28 22:43:41.128654848,817.0
1760-02-27 22:43:41.128654848,767.0
1760-03-29 22:43:41.128654848,722.0
1760-04-29 22:43:41.128654848,681.0
1760-05-29 22:43:41.128654848,687.0
1760-06-29 22:43:41.128654848,660.0
1760-07-29 22:43:41.128654848,698.0
1760-08-29 22:43:41.128654848,717.0
1760-09-29 22:43:41.128654848,696.0
1760-10-27 22:43:41.128654848,775.0
1760-11-27 22:43:41.128654848,796.0
1760-12-27 22:43:41.128654848,858.0
1761-01-27 22:43:41.128654848,826.0
1761-02-26 22:43:41.128654848,783.0
1761-03-29 22:43:41.128654848,740.0
1761-04-29 22:43:41.128654848,701.0
1761-05-29 22:43:41.128654848,706.0
1761-06-29 22:43:41.128654848,677.0
1761-07-29 22:43:41.128654848,711.0
1761-08-29 22:43:41.128654848,734.0
1761-09-29 22:43:41.128654848,690.0
1761-10-28 22:43:41.128654848,785.0
1761-11-28 22:43:41.128654848,805.0
1761-12-28 22:43:41.128654848,871.0
1762-01-28 22:43:41.128654848,845.0
1762-02-27 22:43:41.128654848,801.0
1762-03-30 22:43:41.128654848,764.0
1762-04-30 22:43:41.128654848,725.0
1762-05-30 22:43:41.128654848,723.0
1762-06-30 22:43:41.128654848,690.0
1762-07-30 22:43:41.128654848,734.0
1762-08-30 22:43:41.128654848,750.0
1762-09-30 22:43:41.128654848,707.0
1762-10-28 22:43:41.128654848,807.0
1762-11-28 22:43:41.128654848,824.0
1762-12-28 22:43:41.128654848,886.0
1763-01-28 22:43:41.128654848,859.0
1763-02-27 22:43:41.128654848,819.0
1763-03-30 22:43:41.128654848,783.0
1763-04-30 22:43:41.128654848,740.0
1763-05-30 22:43:41.128654848,747.0
1763-06-30 22:43:41.128654848,711.0
1763-07-30 22:43:41.128654848,751.0
1763-08-30 22:43:41.128654848,804.0
1763-09-30 22:43:41.128654848,756.0
1763-10-28 22:43:41.128654848,860.0
1763-11-28 22:43:41.128654848,878.0
1763-12-28 22:43:41.128654848,942.0
1764-01-28 22:43:41.128654848,913.0
1764-02-27 22:43:41.128654848,869.0
1764-03-29 22:43:41.128654848,834.0
1764-04-29 22:43:41.128654848,790.0
1764-05-29 22:43:41.128654848,800.0
1764-06-29 22:43:41.128654848,763.0
1764-07-29 22:43:41.128654848,800.0
1764-08-29 22:43:41.128654848,826.0
1764-09-29 22:43:41.128654848,799.0
1764-10-27 22:43:41.128654848,890.0
1764-11-27 22:43:41.128654848,900.0
1764-12-27 22:43:41.128654848,961.0
1765-01-27 22:43:41.128654848,935.0
1765-02-26 22:43:41.128654848,894.0
1765-03-29 22:43:41.128654848,855.0
1765-04-29 22:43:41.128654848,809.0
1765-05-29 22:43:41.128654848,810.0
1765-06-29 22:43:41.128654848,766.0
1765-07-29 22:43:41.128654848,805.0
1765-08-29 22:43:41.128654848,821.0
1765-09-29 22:43:41.128654848,773.0
1765-10-28 22:43:41.128654848,883.0
1765-11-28 22:43:41.128654848,898.0
1765-12-28 22:43:41.128654848,957.0
1766-01-28 22:43:41.128654848,924.0
1766-02-27 22:43:41.128654848,881.0
1766-03-30 22:43:41.128654848,837.0
1766-04-30 22:43:41.128654848,784.0
1766-05-30 22:43:41.128654848,791.0
1766-06-30 22:43:41.128654848,760.0
1766-07-30 22:43:41.128654848,802.0
1766-08-30 22:43:41.128654848,828.0
1766-09-30 22:43:41.128654848,778.0
1766-10-28 22:43:41.128654848,889.0
1766-11-28 22:43:41.128654848,902.0
1766-12-28 22:43:41.128654848,969.0
1767-01-28 22:43:41.128654848,947.0
1767-02-27 22:43:41.128654848,908.0
1767-03-30 22:43:41.128654848,867.0
1767-04-30 22:43:41.128654848,815.0
1767-05-30 22:43:41.128654848,812.0
1767-06-30 22:43:41.128654848,773.0
1767-07-30 22:43:41.128654848,813.0
1767-08-30 22:43:41.128654848,834.0
1767-09-30 22:43:41.128654848,782.0
1767-10-28 22:43:41.128654848,892.0
1767-11-28 22:43:41.128654848,903.0
1767-12-28 22:43:41.128654848,966.0
1768-01-28 22:43:41.128654848,937.0
1768-02-27 22:43:41.128654848,896.0
1768-03-29 22:43:41.128654848,858.0
1768-04-29 22:43:41.128654848,817.0
1768-05-29 22:43:41.128654848,827.0
1768-06-29 22:43:41.128654848,797.0
1768-07-29 22:43:41.128654848,843.0
